id,win_date,account_name,salesforce_accountid,rep_name,opportunity_name,opportunity_stage,gtmx_team,account_prospecting_notes,opportunity_type,opportunity_software_mrr,line_items
37edd94bcb6a6d922446c9b56579cec8,2026-12-26,Chelsea Cafe 2,001PV00002Y1KubYAF,Gillian Shepherd,Amendment for contract #00774002,Open,Guest Pro,,Existing Business (Upsell),0.0,
669a20575a6239f75b3f80b042d6e057,2026-12-23,Karak House - Culver City,001PV00002QgED3YAN,Kelly Sendek,Amendment for contract #00773113,Open,Guest Pro,,Existing Business (Upsell),70.0,"14"" Flex 3 Kiosk (Countertop) w/ Toast Tap (OC) ($409.50), Kiosk Monthly Subscription ($70.00), Toast Flex Kiosk 14"" G3 ($0.00)"
83782f6c83a900736f4138fc8919a8a7,2026-12-22,Accord Social,001PV00002SxdCbYAJ,Phoebe Herbert,Amendment for contract #00772688,Open,Guest Pro,,Existing Business (Upsell),70.0,"14"" Toast Flex for Kitchen with Wall Mount ($599.20), Kitchen Display Screen Monthly Subscription ($70.00)"
9673a8d19b788645db82fdaa88758282,2026-12-17,hollywood 2.0,001PV00002fctkUYAQ,Carly Giacchetti,Amendment for contract #00770442,Open,Guest Pro,,Existing Business (Upsell),0.0,"4-Course Point-of-Sale Onboarding ($0.00), 4-Course Restaurant Point-of-Sale Onboarding ($0.00), Onboarding Recap ($0.00), Onsite Install ($400.00), Self-Built Menu ($0.00), Toast Classroom Live and On-Demand ($0.00)"
b271e70b3a627059db04d17c1179e3b9,2026-12-10,The Dug Out,001PV00002YdwfRYAR,Joanna Grafas,Amendment for contract #00766954,Open,Guest Pro,,Existing Business (Upsell),0.0,
7991d30f368fd42eaa9390415f1e88e2,2026-12-09,Village Pizza Kitchen - Parent Account,001PV00002e8sfuYAA,Daria Noori,Amendment for contract #00766443,Open,Guest Pro,,Existing Business (Upsell),0.0,
0ea5216c5916a44a07e1d90b830a6fd3,2026-12-08,Fat Guys Fries - Food Truck NEW,001PV00002dnytDYAQ,Joanna Grafas,Amendment for contract #00765948,Open,Guest Pro,,Existing Business (Upsell),105.0,"3rd Party Delivery ($0.00), Digital Storefront ($0.00), Local by Toast ($0.00), Online Ordering Monthly Subscription ($75.00), Toast Delivery Service Subscription ($0.00), Toast Digital Storefront Essentials ($0.00), UberEats Integration ($30.00)"
66f8602f7ffb88ac3952f492a46328ef,2026-12-05,Zamindar's Club House,001PV00002VoLJLYA3,Carlita Jimenez,Amendment for contract #00764983,Open,Guest Pro,,Existing Business (Upsell),79.0,Toast Tips Manager ($79.00)
9c530dae644123af682cc00c9ab4f371,2026-10-28,Hongdae Dakgalbi,001PV00002Peu7JYAR,Madison Matthews,Amendment for contract #00742435 [Team Management Essentials],Open,Guest Pro,,Existing Business (Upsell),0.0,"Scheduling Pro ($0.00), Team Management ($0.00), Toast Team Management Essentials ($0.00), Toast Tips Manager ($0.00)"
4d4d1d92930a963633b817672b00e2b4,2026-10-22,Westmain Kitchen,001PV00002PzagfYAB,Joanna Grafas,Amendment for contract #00739384,Open,Guest Pro,,Existing Business (Upsell),0.0,
71254295a735e7ef2e46f38840b1defe,2026-10-17,J’S kitchen and lounge,001PV00002CdKTcYAN,Phoebe Herbert,Amendment for contract #00737171,Open,Guest Pro,,Existing Business (Upsell),0.0,"14"" Toast Flex with Counter Stand, Toast Tap (Direct Attach), Toast Printer, and Cash Drawer ($1049.00), Access Points ($0.00), Kitchen Impact Printer ($0.00), Pronto 8 Port Switch Non POE ($0.00), Pronto Indoor Access Point w/ POE Injector (NA) ($0.00), Pronto Router ($0.00), Routers ($0.00), Switches ($0.00), Toast Flex Terminal Packages  14"" G2 ($0.00), Toast Go Handheld G3 ($0.00), Toast Go® 3 Handheld - WiFi Only (US) ($299.50), Toast Kitchen Printer ($169.50)"
4be4ed6ac567e9138ce7da2f93bd87a3,2026-09-30,H&H,001PV00002HSzIkYAL,Ethan Burstein,Amendment for contract #00728169,Open,Guest Pro,,Existing Business (Upsell),50.0,"14"" Toast Flex for Guest (Direct Attach), Toast Tap (On Counter) and MSR Credit Card Reader, Toast Printer, and Cash Drawer ($0.00), Additional Tablet Monthly Software Subscription ($50.00), Toast Flex GFD Terminal Packages  14"" G2 ($0.00)"
d6793c9558f7cb3849be7bc14f1d8a06,2026-09-25,Vinophile Cafe,001PV00002Cqzp7YAB,Jamison Mares,Amendment for contract #00724638,Open,Guest Pro,,Existing Business (Upsell),20.0,"Cellular for Toast Go Monthly Subscription ($20.00), Toast Go Handheld G3 ($0.00), Toast Go® 3 Handheld - WiFi + Cellular (US) ($374.50)"
41a27d60dfd7fb5d8e8dbc7c28097db0,2026-09-25,Petite,001PV00002HhSr7YAF,Kelly Sendek,Amendment for contract #00724744,Open,Guest Pro,,Existing Business (Upsell),0.0,"API Monthly Subscription ($0.00), Advanced Restaurant Management ($0.00), Advanced Scale Management ($0.00), Enterprise Data Management Monthly Subscription ($0.00), Restaurant Management ($0.00), Toast Restaurant Management Pro ($0.00)"
90a49dc37002ac8185379e1557f3dc88,2026-09-24,ATC Events,001PV0000239BskYAE,Gillian Shepherd,Amendment for online ordering add on,Open,Guest Pro,,Existing Business (Upsell),45.0,"Digital Storefront ($0.00), Local by Toast ($0.00), Online Ordering Monthly Subscription ($45.00), Toast Delivery Service Subscription ($0.00), Toast Digital Storefront Essentials ($0.00)"
7c7cbd6a7ba32dd92386f5ba165a0215,2026-08-27,Isola - Encinitas,001PV00002CrO15YAF,Madison Matthews,Amendment for contract #00713988 Isola - Encinitas <UPSELL HW>,Open,Guest Pro,,Existing Business (Upsell),0.0,"Card Reader ($0.00), Handheld Monthly Software Subscription ($0.00), Kitchen Impact Printer ($0.00), Toast Go Handheld G3 ($0.00), Toast Go® 3 Handheld - WiFi Only (US) ($0.00), Toast Go® 3 Handheld Charging Dock (NA) ($0.00), Toast Kitchen Printer ($0.00), Toast Tap (Direct Attach) customer facing packaging (single reader per box) ($0.00)"
9a8e764e8af48916400d5849368c424b,2026-08-25,Karak House- Torrance,001PV0000242V7dYAE,Kelly Sendek,Amendment for contract #00708640,Open,Guest Pro,,Existing Business (Upsell),70.0,"14"" Flex 3 Kiosk (Countertop) w/ Toast Tap (OC) ($409.50), Kiosk Monthly Subscription ($70.00), Toast Flex Kiosk 14"" G3 ($0.00)"
dcacdade6f07996a1a5ab6fa83d51c3c,2026-08-13,Kingwood Bows and Bling DBA The Whisk Cafe,001PV000029ZPTaYAO,Justin Loder,Amendment for contract #00703437,Open,Guest Pro,,Existing Business (Upsell),0.0,
6a9df0fd4af69ccb9bdde892060ec6fa,2026-08-12,Lime & Lemon Rolesville,001PV000016alfkYAA,Gillian Shepherd,Amendment for XC Rolesville,Open,Guest Pro,,Existing Business (Upsell),0.0,
57d0bca5c53aaa24d193e93fbd6eee16,2026-07-31,,0014W00002mss9cQAA,Phoebe Herbert,Orange Hill Restaurant - SMB POS - New Business,6. Quote Sent,Guest Pro,,New Business,303.0,"14"" Toast Flex with Counter Stand, Toast Tap (Direct Attach), Toast Printer, and Cash Drawer ($0.00), 14"" Toast Flex with Counter Stand, Toast Tap (Direct Attach), and Toast Printer ($0.00), 3rd Party Delivery ($0.00), Additional On Site Toast Contractor ($0.00), Additional Tablet Monthly Software Subscription ($162.00), Core Implementation - 3+ Tablets ($0.00), Core Onboarding ($0.00), Digital Storefront ($0.00), DoorDash Integration ($0.00), GrubHub Integration ($0.00), Kitchen Impact Printer ($0.00), Local by Toast ($0.00), Online Ordering Monthly Subscription ($60.00), Pronto 24 Port Switch POE ($0.00), Pronto Router ($0.00), Routers ($0.00), Software Monthly Subscription ($81.00), Switches ($0.00), Toast Delivery Service Subscription ($0.00), Toast Digital Storefront Essentials ($0.00), Toast Flex Terminal Packages  14"" G2 ($0.00), Toast Kitchen Printer ($0.00), UberEats Integration ($0.00)"
02d0897722d0167a040ddc5e325b3e6e,2026-07-31,,001PV00002rc8BXYAY,Mat Szabo,East Carolina Family Entertainment,2. Discovery Complete,Guest Pro,,New Business,0.0,
13eb4084822923fcb69a30f22dedfa68,2026-07-31,,001PV00001eOY9CYAW,Alex Swenson,Plum Alley Coffee - SMB POS - New Business,2. Discovery Complete,Guest Pro,,New Business,0.0,
17a858e76e80601d66845272c8e7826f,2026-07-27,Ted's Place,001PV00001hJsY6YAK,Kelly Sendek,Amendment for contract #00791519,Open,Guest Pro,,Existing Business (Upsell),0.0,
000b6ce86ad9e69c43d21d4e687a8f5f,2026-07-07,Bon AppeTea,0014W000037Xpm6QAC,Justin Loder,Amendment for contract #00771003,4. Demo Complete,Guest Pro,,Existing Business (Upsell),175.0,"Catering and Events ($0.00), Toast Catering and Events ($100.00), Toast Catering and Events Management Pro ($0.00), Upgrade to Toast Catering and Events Pro ($75.00)"
b6758c7386c97aa16395807606ca69f3,2026-07-03,Nam Cafe - South College Station,0014W000037XpmQQAS,Justin Loder,Nam Catering + Xtrachef,4. Demo Complete,Guest Pro,,Existing Business (Upsell),175.0,"Catering and Events ($0.00), Toast Catering and Events ($100.00), Toast Catering and Events Management Pro ($0.00), Upgrade to Toast Catering and Events Pro ($75.00)"
ab4809e7e819f6bdd76250593dc584d5,2026-06-30,,001PV00002mja2iYAA,Maigan Lennon,Whiskey Down Diner - Babylon - SMB POS - New Business,4. Demo Complete,Guest Pro,,New Business,0.0,
6952ad74e28f092439dc3cfc29adf87f,2026-05-31,Cali Cream Bakery,0014W000037Y8PvQAK,Ali Terwilliger,C&E Pro - Amendment for contract #00689623,4. Demo Complete,Guest Pro,,Existing Business (Upsell),279.0,"Inventory Management ($50.00), Invoice Automation ($179.00), Recipe Costing ($50.00), xtraCHEF ($0.00), xtraCHEF Invoice Automation Onboarding ($200.00), xtraCHEF Pro ($0.00), xtraChef Recipe and Inventory Onboarding ($300.00)"
1ec84929407aa39ba658702220863171,2026-05-31,Lost Pier,001PV00000hQE9pYAG,Ali Terwilliger,XC - Amendment for contract #00496916,4. Demo Complete,Guest Pro,,Existing Business (Upsell),279.0,"Inventory Management ($50.00), Invoice Automation ($179.00), Recipe Costing ($50.00), xtraCHEF ($0.00), xtraCHEF Pro ($0.00)"
9110a66e8fe386e916a61e15fea544da,2026-05-31,,0014W000037YYeLQAW,Ethan Burstein,Wildflour Cafe At Towers - SMB POS - New Business,9. Agreement Sent,Guest Pro,,New Business,720.0,"14"" Toast Flex for Guest (Direct Attach), Toast Tap (On Counter) and MSR Credit Card Reader, Toast Printer, and Cash Drawer ($0.00), 14"" Toast Flex with Counter Stand, Toast Tap (Direct Attach), and Toast Printer ($0.00), Additional On Site Toast Contractor ($0.00), Additional Tablet Monthly Software Subscription ($100.00), Core Implementation - 1 to 2 Tablets ($0.00), Core Onboarding ($0.00), Digital Storefront ($0.00), Gift Card Program Monthly Subscription ($50.00), Kitchen Impact Printer ($0.00), Local by Toast ($0.00), Loyalty Program Monthly Subscription ($50.00), Marketing ($0.00), Marketing Monthly Subscription ($75.00), Online Ordering Monthly Subscription ($75.00), Payroll ($0.00), Payroll Essentials Onboarding ($187.50), Pronto 24 Port Switch POE ($0.00), Pronto Router ($0.00), Routers ($0.00), SMS Marketing Base Subscription - 500 Monthly Texts ($10.00), Software Monthly Subscription ($90.00), Switches ($0.00), Toast Delivery Service Subscription ($0.00), Toast Digital Storefront Essentials ($0.00), Toast Flex GFD Terminal Packages  14"" G2 ($0.00), Toast Flex Terminal Packages  14"" G2 ($0.00), Toast Kitchen Printer ($0.00), Toast Marketing Essentials ($0.00), Toast Payroll Essentials ($270.00), Toast Tips Manager ($0.00)"
70ddb3abb66649992436627f403c2f0c,2026-05-31,,001PV000030hwQdYAI,Mat Szabo,The Meeting Place - SMB POS - New Business,1. Discovery Scheduled,Guest Pro,,New Business,0.0,
549ff690f782ffffb3f6de5a20854932,2026-05-31,El Pueblo Del Mar,0014W000037WaCCQA0,Ali Terwilliger,Gift Cards - Amendment for contract #00655225,Open,Guest Pro,,Existing Business (Upsell),0.0,
e0f4299427df67ccf51e9d6de6c647fe,2026-05-31,Jimmy's Famous America Tavern - Dana Point,0014W00002W7F5HQAV,Ali Terwilliger,C&E - Amendment for contract #00645500,Open,Guest Pro,,Existing Business (Upsell),0.0,
f8ba9fe234efc226da68d9ea16a106cd,2026-05-31,,0014W00002mvAzbQAE,Ethan Burstein,Farmhouse Catering & Meals to Go - SMB POS - New Business,2. Discovery Complete,Guest Pro,,New Business,0.0,
2b43fe7c88be63f5ee82528599d9f879,2026-05-30,,001C000001mkXWCIA2,Maigan Lennon,Changing Times American Sports Bar & Grille - SMB POS - New Business,2. Discovery Complete,Guest Pro,,New Business,0.0,
65ccfecfd7afcde842acf12b3be28a88,2026-05-29,Alga Norte Kitchen 2,001PV00000qczJ3YAI,Aidan Smyth,Amendment for contract #00663718,Open,Guest Pro,,Existing Business (Upsell),0.0,
d49ed75ba406f57f338c7408b56da624,2026-05-29,Alga norte Kitchen,001PV00000qcFmqYAE,Aidan Smyth,Amendment for contract #00663691,Open,Guest Pro,,Existing Business (Upsell),0.0,
aa0576cc6b54053a4533ec607cd5c5bc,2026-05-17,Leoness Cellars 2026,001PV00002B1yqoYAB,Quincy Atkinson,Amendment for contract #00770874,Open,Guest Pro,,Existing Business (Upsell),544.0,
91009bbdc454ca68ae6403876e4bf8be,2026-05-11,Two Guys Grille,0014W000037XTluQAG,Gillian Shepherd,Amendment for 3po,Open,Guest Pro,,Existing Business (Upsell),10.2,
3a2a3255e0c58a4f96540a5f871fdd44,2026-05-09,B and C Pizza,001PV00002zgF8AYAU,Kelly Sendek,Amendment for contract #00816638,Open,Guest Pro,,Existing Business (Upsell),0.0,
1badab155d0d6b6ead5c47c8d2f61cfa,2026-05-01,M Winehouse,001PV00001eg3mkYAA,Lauren Garcia,Amendment for contract #00794435,Open,Guest Pro,,Existing Business (Upsell),70.0,Scheduling Pro ($70.00)
1ad797000cd2f4c5ab8de4aae4c2d32d,2026-04-30,,001PV00002CqP7GYAV,Ross Armstrong,Eddie's Catering - Off-Premises Catering,1. Discovery Scheduled,true,,New Business,,
92a844d5b21db0b479929d29251532fa,2026-04-30,,0014W00003CMqu0QAD,Jake DiBurro,Crystal River Smokehouse & Grill - SMB POS - New Business #GuestPro,6. Quote Sent,false,,New Business,,
d653bde6a5bcf96074275ec5b5a4b7d1,2026-04-30,,001PV0000264RgsYAE,Lauren Matthews,The Hitching Post Bar & Grill - SMB POS - New Business #guestpro,3. Demo Scheduled,false,,New Business,,
6c817f59b12340852388c052f0bc0eb1,2026-04-30,,001PV00002vPackYAC,Lauren Matthews,Roosters Bar & Grill #guestpro,4. Demo Complete,false,,New Business,,
81525888d469dfaeb8d10b322de6d226,2026-04-30,,001PV00002D8dWkYAJ,Ross Armstrong,Passion for Catering - Off-Premises Catering,6. Quote Sent,true,,New Business,,
8f0babc0c5ca424f25e6761228cf88a7,2026-04-30,,001PV00002sBOA9YAO,Madison Matthews,Club Kokomo Spirits,9. Agreement Sent,Guest Pro,,New Business,500.15,"14"" Flex 3 Terminal w/ Toast Tap (DA), Printing Hub, Cash Drawer ($277.25), 4-Course Point-of-Sale Onboarding ($0.00), 4-Course Restaurant Point-of-Sale Onboarding ($0.00), Access Points ($0.00), Gift Card Program Monthly Subscription ($50.00), Handheld Monthly Software Subscription ($150.00), Loyalty Program Monthly Subscription ($50.00), Marketing ($0.00), Marketing Monthly Subscription ($75.00), Onboarding Recap ($0.00), Printing Hub (US) ($47.25), Pronto 8 Port Switch POE ($62.25), Pronto Indoor Access Point w/ POE Injector (NA) ($52.25), Pronto Router ($84.75), Routers ($0.00), SMS Marketing Base Subscription - 500 Monthly Texts ($10.00), Self-Built Menu ($0.00), Software Monthly Subscription ($90.00), Switches ($0.00), Toast Advertising Essentials ($0.15), Toast Classroom Live and On-Demand ($0.00), Toast Flex Receipt Printer G3 ($0.00), Toast Flex Terminal 14"" G3 ($0.00), Toast Go Handheld G3 ($0.00), Toast Go® 3 Handheld - WiFi Only (US) ($449.25), Toast Marketing Essentials ($0.00), Toast Retail ($75.00), Toast Welcome Kit ($0.00), Virtual-Led Install ($250.00)"
0bdc6cb5f7357598a939b04023b3a854,2026-04-30,,0014W000037Y6OjQAK,Phoebe Herbert,Catskill Brewery - SMB POS - New Business,6. Quote Sent,Guest Pro,,New Business,361.25,"14"" Toast Flex for Guest (Wedge), Toast Tap (On Counter) and MSR Credit Card Reader, Toast Printer, and Cash Drawer ($519.60), Access Points ($0.00), Additional On Site Toast Contractor ($0.00), Additional Tablet Monthly Software Subscription ($42.50), Core Implementation - 1 to 2 Tablets ($254.70), Core Onboarding ($0.00), Full Menu Build ($400.00), Gift Card Program Monthly Subscription ($42.50), Handheld Monthly Software Subscription ($85.00), Loyalty Program Monthly Subscription ($42.50), Marketing ($0.00), Marketing Monthly Subscription ($63.75), Pronto 24 Port Switch POE ($0.00), Pronto Indoor Access Point w/ POE Injector (NA) ($0.00), Pronto Outdoor Access Point w/ POE Injector (NA) ($0.00), Pronto Router ($0.00), Routers ($0.00), SMS Marketing Base Subscription - 500 Monthly Texts ($8.50), Software Monthly Subscription ($76.50), Switches ($0.00), Toast Flex GFD Terminal Packages  14"" G2 ($0.00), Toast Go Handheld G3 ($0.00), Toast Go® 3 Handheld - WiFi Only (US) ($479.20), Toast Marketing Essentials ($0.00)"
28bde064ba9ef1956d0e36a829c3e350,2026-04-30,nuez de azahar: Parent,0014W00002W6tfQQAR,Emma Wiley,Austin Location - Payroll,9. Agreement Sent,Guest Pro,,Existing Business (Upsell),0.0,"Payroll Essentials Onboarding ($187.50), Payroll Onboarding Bundle ($0.00)"
bb2f611f44d0032e09f23fd7a9e7c6f4,2026-04-30,,0014W000037Y2KfQAK,Maigan Lennon,Suburban Eats - SMB POS - New Business,1. Discovery Scheduled,Guest Pro,,New Business,0.0,
a55ce02ab394bc7d25eafc7e81c08296,2026-04-30,The Wolftrap,0014W00002mrCUnQAM,Sara Geiken,The Wolftrap - mktg,9. Agreement Sent,Guest Pro,,Existing Business (Upsell),10.0,"Gift Card Program Monthly Subscription ($-50.00), Gift Card Program Monthly Subscription ($50.00), Loyalty Program Monthly Subscription ($50.00), Loyalty Program Monthly Subscription ($-50.00), Marketing ($0.00), Marketing Monthly Subscription ($-75.00), Marketing Monthly Subscription ($75.00), SMS Marketing Base Subscription - 500 Monthly Texts ($10.00), Toast Marketing Essentials ($0.00)"
d1d1701c04235fcd10ae1b598fe6b240,2026-04-30,space city smoothies llc,001PV00002rd9LeYAI,Cole Lelli,Amendment for contract #00799862,Open,Guest Pro,,Existing Business (Upsell),279.0,"Inventory Management ($50.00), Invoice Automation ($179.00), Recipe Costing ($50.00), xtraCHEF ($0.00), xtraCHEF Invoice Automation Onboarding ($200.00), xtraCHEF Pro ($0.00), xtraChef Recipe and Inventory Onboarding ($300.00)"
d2f9594dca8c4078c43ec0436e7895c4,2026-04-30,,0014W000037Xr1oQAC,Austin Story,Rustbelt Coffee - SMB POS - New Business,6. Quote Sent,Guest Pro,,New Business,255.0,"14"" Flex 3 Terminal w/ Guest Display, Toast Tap (OC), Printing Hub, Cash Drawer, MSR ($111.92), 22"" Toast Flex for Kitchen with Wall Mount ($170.83), 3rd Party Delivery ($0.00), 4-Course Point-of-Sale Onboarding ($0.00), 4-Course Restaurant Point-of-Sale Onboarding ($0.00), Digital Storefront ($0.00), DoorDash Integration ($30.00), Kitchen Display Screen Monthly Subscription ($70.00), Label Sticky Printer ($0.00), Local by Toast ($0.00), Menu Template ($125.00), Onboarding Recap ($0.00), Online Ordering Monthly Subscription ($75.00), Pronto 8 Port Switch POE ($21.29), Pronto Router ($28.98), Routers ($0.00), Self Install ($0.00), Software Monthly Subscription ($50.00), Switches ($0.00), Toast Classroom Live and On-Demand ($0.00), Toast Delivery Service Subscription ($0.00), Toast Digital Storefront Essentials ($0.00), Toast Flex KDS 22"" G2 ($0.00), Toast Flex Terminal 14"" G3 ($0.00), Toast Item Label Printer ($40.95), Toast Welcome Kit ($0.00), UberEats Integration ($30.00)"
32b9dd87a217c122af465bf320d08e52,2026-04-30,Lana,001PV00001782CzYAI,Ali Terwilliger,Amendment for contract #00559742,Open,Guest Pro,,Existing Business (Upsell),0.0,
14c1d21ac3dd93feb09d035b34a960c1,2026-04-30,,001PV00002y4BirYAE,Carly Giacchetti,Toros Cantina and grill,1. Discovery Scheduled,Guest Pro,,New Business,0.0,
bc3f923fbaf14ecbc3a69f64121a6a5e,2026-04-30,,001PV00002vQd3wYAC,Maigan Lennon,Piazzetta of West Islip - SMB POS - New Business,6. Quote Sent,Guest Pro,,New Business,790.0,"14"" Flex 3 Terminal w/ Guest Display, Toast Tap (OC), Printing Hub, Cash Drawer, MSR ($3927.00), 14"" Flex 3 Terminal w/ Toast Tap (DA), Printing Hub ($4036.00), 14"" Flex 3 Terminal w/ Toast Tap (DA), Printing Hub, Cash Drawer ($1109.00), 3rd Party Delivery ($0.00), 4-Course Onboarding - Optional Add-Ons ($0.00), 4-Course Point-of-Sale Onboarding ($0.00), 4-Course Restaurant Point-of-Sale Onboarding ($0.00), Additional Tablet Monthly Software Subscription ($350.00), Digital Storefront ($0.00), DoorDash Integration ($30.00), Gift Card Program Monthly Subscription ($50.00), GrubHub Integration ($30.00), Kitchen Impact Printer ($0.00), Local by Toast ($0.00), Loyalty Program Monthly Subscription ($50.00), Marketing ($0.00), Marketing Monthly Subscription ($75.00), Menu Template ($125.00), Onboarding Recap ($0.00), Online Ordering Monthly Subscription ($75.00), Onsite Support ($750.00), Pronto 24 Port Switch POE ($499.00), Pronto Router ($339.00), Routers ($0.00), SMS Marketing Base Subscription - 500 Monthly Texts ($10.00), Software Monthly Subscription ($90.00), Switches ($0.00), Toast Classroom Live and On-Demand ($0.00), Toast Delivery Service Subscription ($0.00), Toast Digital Storefront Essentials ($0.00), Toast Flex Terminal 14"" G3 ($0.00), Toast Kitchen Printer ($2712.00), Toast Marketing Essentials ($0.00), Toast Welcome Kit ($0.00), UberEats Integration ($30.00), Virtual-Led Install ($250.00)"
08c7f43e19d3e561b8fc514ce071b060,2026-04-30,Bottega Angelina,0014W00003P2xhoQAB,Ali Terwilliger,C&E - Amendment for contract #00523367,1. Discovery Scheduled,Guest Pro,,Existing Business (Upsell),100.0,"Catering and Events ($0.00), Toast Catering and Events ($100.00)"
60a8cf91373dca18ebd964dbf350100b,2026-04-30,,001PV00001cwcHqYAI,Madison Matthews,Lala,6. Quote Sent,Guest Pro,,New Business,465.0,"14"" Toast Flex with Counter Stand, Toast Tap (Direct Attach), Toast Printer, and Cash Drawer ($0.00), API Monthly Subscription ($25.00), Access Points ($0.00), Additional On Site Toast Contractor ($0.00), Additional Tablet Monthly Software Subscription ($50.00), Advanced Restaurant Management ($25.00), Core Implementation - 1 to 2 Tablets ($0.00), Core Onboarding ($0.00), Digital Storefront ($0.00), Gift Card Program Monthly Subscription ($50.00), Handheld Monthly Software Subscription ($150.00), Kitchen Impact Printer ($0.00), Local by Toast ($0.00), Marketing ($0.00), Online Ordering Monthly Subscription ($75.00), Pronto 24 Port Switch POE ($0.00), Pronto Indoor Access Point w/ POE Injector (NA) ($0.00), Pronto Router ($0.00), Restaurant Management ($0.00), Routers ($0.00), Software Monthly Subscription ($90.00), Switches ($0.00), Toast Delivery Service Subscription ($0.00), Toast Digital Storefront Essentials ($0.00), Toast Flex Terminal Packages  14"" G2 ($0.00), Toast Go Handheld G3 ($0.00), Toast Go® 3 Handheld - WiFi Only (US) ($0.00), Toast Kitchen Printer ($0.00), Toast Restaurant Management Essentials ($0.00)"
d06910ad6f8f34bdc56facf883ec2d12,2026-04-30,,001PV00002tFN3dYAG,Alex Swenson,Ajshotdogs & Gyros,1. Discovery Scheduled,Guest Pro,,New Business,0.0,
776200c4feb66a7dd96eefce4a57cb43,2026-04-30,,0013c00001nnPLeAAM,Austin Story,Luckey Junction - SMB POS - New Business,1. Discovery Scheduled,Guest Pro,,New Business,0.0,
988913e3225a407c8b0a2559acf6ef9d,2026-04-30,,001PV000024ySA0YAM,Carly Giacchetti,Southern Grocery - SMB POS - New Business,1. Discovery Scheduled,Guest Pro,,New Business,0.0,
